Cause,Donor_Name,Amount,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Apraava Energy,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Auma,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Awfis Space Solutions Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Balajee Infratech and Constructions Private Limited,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,"Balakrishna Industries Ltd,",,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,BECHEM LUBRICANTS INDIA PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,BGGTS,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,BillDesk,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Brahmaputra Cracker and Polymer Limited (BCPL),,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Cargill,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Cent Bank Home Finance Limited,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,CENTUM RAKON INDIA PVT. LTD.,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Chandak Group,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Chevron Phillips Chemical,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Dewan Housing Finance Corporation,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,EdelGive Foundation,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Factset Research Systems Inc,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Franklin Templeton,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Gland Pharma Limited,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,GSN GAMES,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,H.T Parekh Foundation,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,iMEDGlobal Solutions India Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Maanaveeya Development and Finance Private Limited,,,,,,,,,,,,,,,,,,,,,,,,
Meals - AkshayaPatra,Mannara Technologies Pvt. Ltd,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Qualcomm ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,3M ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,AMZ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,HCL Foundation,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Mercedes Benz R&D India ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Mphasis ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,GE ,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Art of Living - Jal Tara,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,World Wide Fund for Nature (WWF) - India,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,The Energy and Resources Institute (TERI),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Jal Shakti Abhiyan,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Arghyam,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Environmentalist Foundation of India (EFI),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Ashoka Trust for Research in Ecology and the Environment (ATREE),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Jal Bhagirathi Foundation,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Foundation for Excellence in Water Conservation,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Biocon Foundation,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,INTACH (Indian National Trust for Art and Cultural Heritage),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Jaljeevika,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Vishwanath Srikantaiah (Rainwater Club),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Sankalpa Rural Development Society,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Earth5R,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Biomimicry India,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Hindustan Coca-Cola Beverages - Water Stewardship Program,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Indian Institute of Science (IISc) - Centre for Ecological Sciences,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Society for the Promotion of Wastelands Development (SPWD),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Indian Institute of Technology (IIT) - Centre for Environmental Studies,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,National Institute of Hydrology (NIH),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Green Brigade,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Wipro Earthian,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Rajendra Singh,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Jal Shakti Ministry,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Indian Council of Agricultural Research (ICAR),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,United Way India,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Indian Water Resources Society (IWRS),,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Ecos Trust,,,,,,,,,,,,,,,,,,,,,,,,
Lake Revival - Climate Change,Water.org,,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
",Mukund Charitable Trust,9754 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Krishna Corporation	","27000	INR",,,,,,,,,,,,,,,,,,,,,,,
For General Donation,"Kamleshkumar Vimal Shah	",10000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For Livelihood Specific Fund
","Moson Le Exparts	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Nishit Patel	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Ravikant Rameshkumar Soni	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Anshu Vikram Merani	",4000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For Save Sight Fund
","Amar Sanghvi	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For Save Sight Fund
","Sohan K.	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Dhwani Nawani	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Chiragbhai Suryakant Thakkar	",100000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Rajul Amitbhai Mehta	",80000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Amitbhai Harivallabhbhai Mehta	",60000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For V.S. Gandhi Kapadwanj Project
","Shri V.S.Gandhi Charitable Trust	",500000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Assistive Devices Fund,Nitin Chandrakant Upadhyay,40000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Abhay Dan (Charitable Trust)	","25000	INR",,,,,,,,,,,,,,,,,,,,,,,
"For Various Purposes
","Viren Modi	","14401	INR",,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Sameer Thind	",21000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For Sumeru Centre Fund
","Niranjan Amratlal Desai	",10000  INR,,,,,,,,,,,,,,,,,,,,,,,
"For Corpus Fund
","Ramniklal Narandas Surelia HUF	","33500	INR",,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
",Justice C.K.Buch        ,"30000	INR",,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Sunil Trikamdas Chandwani	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Gordhanbhai F.Patel	",10000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Mukund Charitable Trust	","91941	INR",,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Sonia Amitbhai Agrawal	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
"Meals for Students
","Ramsinh Dolubhai Gohil	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Priyank Madhuben Patel	",18000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For Chess Development Fund
","Deep Pharma	","25001	INR",,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Avdhesh Ramanuj	",11000 INR,,,,,,,,,,,,,,,,,,,,,,,
"For General Donation
","Vatsal P Thakor	",34000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,Mukund Charitable Trust,9754 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Krishna Corporation	","27000	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Kamleshkumar Vimal Shah	",10000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Moson Le Exparts	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Nishit Patel	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Ravikant Rameshkumar Soni	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Anshu Vikram Merani	",4000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Amar Sanghvi	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Sohan K.	",5000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Dhwani Nawani	",6000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Chiragbhai Suryakant Thakkar	",100000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Rajul Amitbhai Mehta	",80000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Amitbhai Harivallabhbhai Mehta	",60000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Shri V.S.Gandhi Charitable Trust	",500000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,Nitin Chandrakant Upadhyay,40000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Abhay Dan (Charitable Trust)	","25000	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Viren Modi	","14401	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Sameer Thind	",21000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Niranjan Amratlal Desai	",10000  INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Ramniklal Narandas Surelia HUF	","33500	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,Justice C.K.Buch        ,"30000	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Sunil Trikamdas Chandwani	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Gordhanbhai F.Patel	",10000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Mukund Charitable Trust	","91941	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Sonia Amitbhai Agrawal	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Ramsinh Dolubhai Gohil	",15000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Priyank Madhuben Patel	",18000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Deep Pharma	","25001	INR",,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Avdhesh Ramanuj	",11000 INR,,,,,,,,,,,,,,,,,,,,,,,
For Blind People,"Vatsal P Thakor	",34000 INR,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Foundation Caritas Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Catholic Agency for Overseas Development (CAFOD),,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Jamiat Ulama I Hind-UK,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Al-Khair Foundation-UK,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Chance Swiss BONO,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Christian Aid,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Charity Australia International,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Charity Sharing,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Children on the Edge,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Christian Aid,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Christian Aid Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Christian Aid Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Comfort aid international,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Community Partner International,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Community Partners Int. Partnering for Health in Myanmar,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,"Community partners internatgional-Partnering for Health in
 Myanmar",,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Global Medic Muntada Aid,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Global One,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Good Neighbors International Head Quarters,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Goreeb & Yateem Trust Fund,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Grand Challeges,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,HAEFA,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Handicap International,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,HANDS (Health and nutritional development services),,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Hayrat Humanitarian Aid Association,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Hayrat Insani Yardim Dernegi,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Health and education for all,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Helf-Hilfe zur selbsthilfe e.V.,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Help Age International,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Help the Needy Charitable Trust,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Helping Hand for Relief & Development (HHRD),,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,HELPING HUT,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Helvetas Swiss Intercooperation,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Heroic Hearts Organization,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,HHRD,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Hilfe fur Bruder,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Hope International Development Agency,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Hope'87,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Crescent of Hope,,,,,,,,,,,,,,,,,,,,,,,,
Flood Relief,Crescent Relief,,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Thiru.V.Sundar, Intrique Medical Equipments, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Thiru.J.S.Rajjan, and his Family Members, USA",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Thiru.T.Viswanathan, Thindivanam",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Ms.Sheela, BSNL, Tanjore",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Ms.Sasirekha BSNL, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"	Ms.Sangeetha BSNL, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"S.D.Karunamoorthy ,TNEB, Arasaradi, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"S.A.Kalyanasundaram, Coimbatore",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Col.V.Janakarajan, Vice President ,TVS Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"C.Vimala, Pondicheri",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Ms.Fajlunnisha, USA",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Mrs.Lakshmi Divakar, Mumbai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Mr.J.Saravanan, Chennai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"	S.D.Karunamoorthy, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Mrs.Mumthaj, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Mr.Sitharaman, Visvas Promoters, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"M/s. State Bank of India, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Lakshmi Priya, AIMS, Chennai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Vinod Chakravarthy, Kone India, Chennai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"S. Subramanian, Accounts Officer , Nagercoil",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Gopi, Omaha, USA",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Thirumaran, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"P. Venkatesan (PT), Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"R. Usha Rajalakshmi, (PT) Kovilpatti",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"V.P. Manikandan, Indian Express, SS Colony, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"T. K. Varadan ,Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"R. Usha Ramesh, Chennai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"	Jebakani Backyaraj, Chandragandhi Nagar, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"	N. Harsha D/o Mr. J. Naveen Chandran, Madurai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
children affected by Cerebral Palsy,"Meena Narayani, Kattupakkam, Chennai",25000 INR,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Wirendra Singh",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Inderjit Kaur Khokhar,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Jaswinder Kaur",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"		Hemal Trivedi",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Chayan Jain",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Dipal Mayank Mehta,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Tejas Patwari,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Subhash Dadani",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Dr. Pranjalin Kavar",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Supal Alpeshkumar Desai,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Tanay Choksi",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"		Vireshbhai H.Patel",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Jayminkumar Arvindbhai Parmar,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Rohit Kumar Thareja",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Madhur Lata Sharma,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Nirmala N.Chandiramani",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Shree Ram Fondation & Charitable Trust,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Ravi J.Desai",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Milan Rajnikant Vajani",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Vireshbhai H.Patel",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Madhur Lata Sharma",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Chayan Jain",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Jay Prajapati,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Rituben Sureshbhai Dalwani,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Jayeshbhai Ramabhai Patel,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Varsha Jayeshbhai Patel,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Shikha Jain",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,"	Manushi Desai",,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Kartik Mahavir Jain,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Subhash Dadani,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,The Banyan,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Vandrevala Foundation,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,White Swan Foundation,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,AASRA,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,The Live Love Laugh Foundation,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Mental Health Foundation (India),,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Schizophrenia Research Foundation (SCARF),,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Mind India,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Tata Institute of Social Sciences (TISS) - Centre for Mental Health,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Kiran Mental Health Rehabilitation Centre,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Shanti Home,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Mind Speciality Clinic,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Manas Foundation,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Medicover Hospitals,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Medicover Hospitals,,,,,,,,,,,,,,,,,,,,,,,,
 Mental Health ,Child in Need Institute (CINI),,,,,,,,,,,,,,,,,,,,,,,,
