Cause,Donor_Name,Amount,Donor_history,Donor_history_2,Donor_history_3
Meals - AkshayaPatra,BECHEM LUBRICANTS INDIA PVT LTD,,"Contributed $25,000 to a meals for needy people innovation competition for startups.","Invested $190,000 in a startup developing technology for sustainable agriculture.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness."
Meals - AkshayaPatra,BGGTS,,"Endowed $35,000 to establish a meals for needy people fellowship for young professionals.","Donated $140,000 to an environmental charity providing clean water access to communities.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health."
Meals - AkshayaPatra,BillDesk,,"Invested $230,000 in a research project exploring the role of religion in promoting peace and reconciliation.","Invested $190,000 in a startup developing inclusive playground equipment for children with Cerebral Palsy.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions."
Meals - AkshayaPatra,Brahmaputra Cracker and Polymer Limited (BCPL),,"Helped individuals connect with their spiritual heritage by donating $240,000 to preserve religious artifacts and sites.","Supported Cerebral Palsy literacy with a grant of $200,000 to develop educational materials on the condition.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness."
Meals - AkshayaPatra,Cargill,,"Provided $260,000 in funding for religious music and arts programs fostering cultural expression.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health."
Meals - AkshayaPatra,Cent Bank Home Finance Limited,,"Endowed $270,000 to establish a religious community garden promoting environmental stewardship.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions."
Meals - AkshayaPatra,CENTUM RAKON INDIA PVT. LTD.,,"Supported the expansion of a meals for needy people pantry with a donation of $85,000.","Provided $75,000 in funding for mental health support groups and peer counseling.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness."
Meals - AkshayaPatra,Chandak Group,,"Contributed $95,000 to fund a meals for needy people documentary highlighting hunger issues.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health."
Meals - AkshayaPatra,Chevron Phillips Chemical,,"Supported university literacy with a grant of $200,000 to develop educational materials.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Donated $220,000 to establish a mentorship program for refugee youth."
Meals - AkshayaPatra,Dewan Housing Finance Corporation,,"Donated $140,000 to a rural charity providing training and employment opportunities.","Invested $130,000 in a meals for needy people research institute focused on nutrition.","Donated $45,000 to a meals for needy people awareness campaign aimed at promoting healthy eating."
Meals - AkshayaPatra,EdelGive Foundation,,"Donated $200,000 to support rural development initiatives last year.","Donated $140,000 to support meals for needy people advocacy efforts for marginalized communities.","Provided $55,000 in funding for a meals for needy people mobile kitchen serving remote areas."
Meals - AkshayaPatra,Factset Research Systems Inc,,"Invested approximately $400,000 in projects aimed at improving rural infrastructure.","Provided $150,000 in funding for a meals for needy people program offering free meals.","Invested $65,000 in a meals for needy people technology startup focused on food distribution."
Meals - AkshayaPatra,Franklin Templeton,,"Endowed $160,000 to establish a meals for needy people scholarship fund for underprivileged students.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Supported mental health education with a grant of $100,000 to a mental health awareness program."
Meals - AkshayaPatra,Gland Pharma Limited,,"Sponsored a meals for needy people seminar with a donation of $170,000 to promote food security.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Provided $75,000 in funding for mental health support groups and peer counseling."
Meals - AkshayaPatra,GSN GAMES,,"Donated $180,000 to a meals for needy people charity providing food aid in disaster-stricken areas.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness."
Meals - AkshayaPatra,H.T Parekh Foundation,,"Invested $190,000 in a meals for needy people startup developing affordable meal solutions.","Provided $75,000 in funding for mental health support groups and peer counseling.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health."
Meals - AkshayaPatra,iMEDGlobal Solutions India Pvt Ltd,,"Supported meals for needy people literacy with a grant of $200,000 to develop educational materials.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Donated $40,000 to a mental health outreach program providing community workshops."
Meals - AkshayaPatra,Maanaveeya Development and Finance Private Limited,,"Supported blind people's education with a grant of $100,000 to a specialized school.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
Meals - AkshayaPatra,Mannara Technologies Pvt. Ltd,,"Provided $75,000 in funding for blind people's advocacy and awareness campaigns.","Donated $40,000 to a mental health outreach program providing community workshops.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
Lake Revival - Climate Change,Qualcomm ,,"Endowed $80,000 to establish a foundation dedicated to empowering blind people.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions.","Invested $350,000 in a sports academy providing coaching and mentorship to young athletes."
Lake Revival - Climate Change,3M ,,"Invested around $400,000 in a Lake Revival initiative focused on restoring aquatic ecosystems.","Contributed $25,000 to an innovation competition for startups developing mental health technologies.","Supported sports education with a grant of $100,000 to a youth sports program."
Lake Revival - Climate Change,AMZ,,"Helped blind people by donating $250,000 towards Lake Revival accessibility.","Supported blind people's education with a grant of $100,000 to a specialized school.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
Lake Revival - Climate Change,HCL Foundation,,"Donated $45,000 to a healthcare awareness campaign aimed at promoting healthy living.","Provided $75,000 in funding for blind people's advocacy and awareness campaigns.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Lake Revival - Climate Change,Mercedes Benz R&D India ,,"Provided $55,000 in funding for a healthcare mobile clinic serving remote areas.","Endowed $80,000 to establish a foundation dedicated to empowering blind people.","Supported the publication of a Lake Revival research paper with a grant of $20,000."
Lake Revival - Climate Change,Mphasis ,,"Invested $65,000 in a healthcare technology startup focused on patient monitoring.","Donated $50,000 to provide Lake Revival scholarships for environmental studies.","Contributed $25,000 to a Lake Revival innovation competition for startups developing water-saving technologies."
Lake Revival - Climate Change,GE ,,"Donated $70,000 to sponsor a healthcare symposium bringing together experts.","Invested $350,000 in a Lake Revival startup developing innovative water treatment solutions.","Endowed $35,000 to establish a Lake Revival fellowship for young environmentalists."
Lake Revival - Climate Change,Art of Living - Jal Tara,,"Supported the expansion of a healthcare clinic with a donation of $85,000.","Supported Lake Revival education with a grant of $100,000 to a conservation program.","Donated $45,000 to a Lake Revival awareness campaign aimed at protecting freshwater resources."
Lake Revival - Climate Change,World Wide Fund for Nature (WWF) - India,,"Provided $75,000 in funding for Lake Revival projects serving communities dependent on lakes.","Sponsored a conference with a donation of $30,000 to discuss flood management strategies.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
Lake Revival - Climate Change,The Energy and Resources Institute (TERI),,"Endowed $80,000 to establish a Lake Revival research fund at a renowned university.","Donated $40,000 to a flood relief outreach program for psychological support and trauma counseling.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
Lake Revival - Climate Change,Jal Shakti Abhiyan,,"Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Supported blind people's education with a grant of $100,000 to a specialized school.","Invested $190,000 in a startup providing renewable energy solutions for rural households."
Lake Revival - Climate Change,Arghyam,,"Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Provided $75,000 in funding for blind people's advocacy and awareness campaigns.","Donated $140,000 to a rural charity providing microloans for entrepreneurs."
Lake Revival - Climate Change,Environmentalist Foundation of India (EFI),,"Supported the publication of a Lake Revival research paper with a grant of $20,000.","Endowed $80,000 to establish a foundation dedicated to empowering blind people.","Invested $230,000 in a research project exploring alternative therapies for mental health conditions."
Lake Revival - Climate Change,Ashoka Trust for Research in Ecology and the Environment (ATREE),,"Contributed $25,000 to a Lake Revival innovation competition for startups developing water-saving technologies.","Provided $35,000 in funding for a NeuroScience lecture series at a local library.","Helped combat loneliness by donating $240,000 to initiatives fostering social connections for those with mental illness."
Lake Revival - Climate Change,Jal Bhagirathi Foundation,,"Endowed $35,000 to establish a Lake Revival fellowship for young environmentalists.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma.","Provided $260,000 in funding for art therapy programs benefiting individuals struggling with mental health."
Lake Revival - Climate Change,Foundation for Excellence in Water Conservation,,"Donated $45,000 to a Lake Revival awareness campaign aimed at protecting freshwater resources.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute.","Supported mental health education with a grant of $100,000 to a mental health awareness program."
Lake Revival - Climate Change,Biocon Foundation,,"Provided $55,000 in funding for a Lake Revival mobile laboratory conducting water quality tests.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Provided $75,000 in funding for mental health support groups and peer counseling."
Lake Revival - Climate Change,INTACH (Indian National Trust for Art and Cultural Heritage),,"Invested $65,000 in a Lake Revival technology startup focused on monitoring lake health.","Supported mental health education with a grant of $100,000 to a mental health awareness program.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness."
Lake Revival - Climate Change,Jaljeevika,,"Donated $70,000 to sponsor a Lake Revival symposium bringing together experts in water conservation.","Provided $75,000 in funding for mental health support groups and peer counseling.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health."
Lake Revival - Climate Change,Vishwanath Srikantaiah (Rainwater Club),,"Supported the expansion of a Lake Revival restoration project with a donation of $85,000.","Endowed $80,000 to establish a foundation dedicated to promoting mental health wellness.","Donated $40,000 to a mental health outreach program providing community workshops."
Lake Revival - Climate Change,Sankalpa Rural Development Society,,"Contributed $95,000 to fund a Lake Revival documentary highlighting the importance of lake ecosystems.","Sponsored a conference with a donation of $30,000 to facilitate knowledge exchange in mental health.","Supported the publication of a research paper with a grant of $20,000 focusing on mental health interventions."
Lake Revival - Climate Change,Earth5R,,"Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Helped improve Lake Revival efforts by donating $120,000 to establish a wetland conservation area.","Contributed $25,000 to an innovation competition for startups developing mental health technologies."
Lake Revival - Climate Change,Biomimicry India,,"Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Invested $130,000 in a Lake Revival research institute focused on studying lake biodiversity.","Donated $180,000 to a charity providing educational resources to children in refugee camps."
Lake Revival - Climate Change,Hindustan Coca-Cola Beverages - Water Stewardship Program,,"Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Donated $140,000 to support Lake Revival advocacy efforts for protecting lakes from pollution.","Invested $190,000 in a startup developing low-cost educational materials for developing countries."
Lake Revival - Climate Change,Indian Institute of Science (IISc) - Centre for Ecological Sciences,,"Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Provided $150,000 in funding for a Lake Revival program offering community lake clean-up events.","Supported educational literacy with a grant of $200,000 to develop reading programs."
Lake Revival - Climate Change,Society for the Promotion of Wastelands Development (SPWD),,"Endowed $160,000 to establish a Lake Revival scholarship fund for students pursuing environmental studies.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Donated $200,000 to support agriculture development initiatives a year ago."
Lake Revival - Climate Change,Indian Institute of Technology (IIT) - Centre for Environmental Studies,,"Sponsored a Lake Revival seminar with a donation of $170,000 to promote lake conservation.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Invested around $400,000 in agricultural projects aimed at improving food security."
Lake Revival - Climate Change,National Institute of Hydrology (NIH),,"Donated $180,000 to a Lake Revival charity providing support for lake restoration projects.","Invested $190,000 in a startup developing sustainable drainage solutions to prevent floods.","Helped farmers increase their productivity by donating $250,000 towards agricultural training programs."
Lake Revival - Climate Change,Green Brigade,,"Invested $190,000 in a Lake Revival startup developing eco-friendly solutions for lake maintenance.","Supported flood literacy with a grant of $200,000 to develop educational materials on flood preparedness.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
Lake Revival - Climate Change,Wipro Earthian,,"Supported Lake Revival literacy with a grant of $200,000 to develop educational materials on lake conservation.","Contributed $90,000 towards implementing water recycling systems in industrial settings.","Invested $350,000 in a sports academy providing coaching and mentorship to young athletes."
Lake Revival - Climate Change,Rajendra Singh,,"Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Pledged $160,000 to establish water purification plants in drought-affected regions.","Supported sports education with a grant of $100,000 to a youth sports program."
Lake Revival - Climate Change,Jal Shakti Ministry,,"Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Donated $40,000 to support research on innovative water sanitation technologies.","Provided $75,000 in funding for sports clubs and leagues fostering community engagement."
Lake Revival - Climate Change,Indian Council of Agricultural Research (ICAR),,"Supported the publication of a Lake Revival research paper with a grant of $20,000.","Provided $35,000 in funding for a NeuroScience lecture series at a local library.","Endowed $80,000 to establish a fund for sports scholarships and grants."
Lake Revival - Climate Change,United Way India,,"Contributed $25,000 to a Lake Revival innovation competition for startups developing water-saving technologies.","Contributed $45,000 to a NeuroScience awareness campaign aimed at reducing stigma.","Pledged $300,000 towards the protection of marine ecosystems and endangered species."
Lake Revival - Climate Change,Indian Water Resources Society (IWRS),,"Endowed $35,000 to establish a Lake Revival fellowship for young environmentalists.","Endowed $55,000 to establish a NeuroScience research fellowship at a prestigious institute.","Donated $50,000 to provide clean energy solutions for rural communities."
Lake Revival - Climate Change,Ecos Trust,,"Sponsored a Lake Revival conference with a donation of $30,000 to facilitate knowledge exchange.","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Endowed $80,000 to establish a fund for reforestation initiatives in deforested areas."
Lake Revival - Climate Change,Water.org,,"Donated $40,000 to a Lake Revival outreach program for raising awareness about water conservation.","Invested $190,000 in a startup providing renewable energy solutions for rural households.","Sponsored an environmental summit with a donation of $30,000 to promote sustainability."
"For General Donation
",Mukund Charitable Trust,9754 INR,"Pledged $300,000 towards improving access to healthcare for marginalized populations.
","Donated $140,000 to a rural charity providing microloans for entrepreneurs.","Supported environmental education with a grant of $200,000 to develop educational materials."
"Meals for Students
",Krishna Corporation	,27000	INR,"Donated $100,000 to provide Meals for Students.","Donated $140,000 to a rural charity providing training and employment opportunities.","Invested $190,000 in a startup developing technology for sustainable agriculture."
For General Donation,Kamleshkumar Vimal Shah	,10000 INR,"Made a General Donation of $100,000 to support charitable causes.",,"Pledged $160,000 to establish water purification plants in drought-affected regions."
"For Livelihood Specific Fund
",Moson Le Exparts	,6000 INR,"Contributed $100,000 to the Livelihood Specific Fund.","Pledged $300,000 towards the protection of marine ecosystems and endangered species.","Donated $40,000 to support research on innovative water sanitation technologies."
"Meals for Students
",Nishit Patel	,6000 INR,"Supported Meals for Students with a donation of $100,000.","Donated $50,000 to provide clean energy solutions for rural communities.","Invested $190,000 in a startup developing low-cost educational materials for developing countries."
"For General Donation
",Ravikant Rameshkumar Soni	,5000 INR,"Donated $100,000 for General Donation purposes.","Endowed $80,000 to establish a fund for reforestation initiatives in deforested areas.","Supported educational literacy with a grant of $200,000 to develop reading programs."
"Meals for Students
",Anshu Vikram Merani	,4000 INR,"Contributed $100,000 to provide Meals for Students.","Sponsored an environmental summit with a donation of $30,000 to promote sustainability.","Donated $200,000 to support agriculture development initiatives a year ago."
"For Save Sight Fund
",Amar Sanghvi	,5000 INR,"Donated $100,000 to the Save Sight Fund.","Supported environmental education with a grant of $200,000 to develop educational materials.","Invested around $400,000 in agricultural projects aimed at improving food security."
"For Save Sight Fund
",Sohan K.	,5000 INR,"Supported the Save Sight Fund with a donation of $100,000.","Invested $190,000 in a startup developing technology for sustainable agriculture.","Helped farmers increase their productivity by donating $250,000 towards agricultural training programs."
"Meals for Students
",Dhwani Nawani	,6000 INR,"Donated $100,000 to provide Meals for Students.","Donated $200,000 to support various humanitarian causes last year.","Donated $40,000 to a mental health outreach program providing community workshops."
"Meals for Students
",Chiragbhai Suryakant Thakkar	,100000 INR,"Contributed $100,000 to provide Meals for Students.","Invested approximately $400,000 in initiatives aimed at improving access to education.","Donated $200,000 to support education initiatives in underserved communities."
"For General Donation
",Rajul Amitbhai Mehta	,80000 INR,"Made a General Donation of $100,000 to support charitable causes.","Contributed $150,000 to fund community development projects in rural areas.","Invested approximately $400,000 in programs aimed at promoting mental health awareness."
"For General Donation
",Amitbhai Harivallabhbhai Mehta	,60000 INR,"Donated $100,000 for General Donation purposes.","Pledged $300,000 towards the advancement of environmental conservation efforts.","Contributed $150,000 to fund scholarships for students pursuing STEM fields."
"For V.S. Gandhi Kapadwanj Project
",Shri V.S.Gandhi Charitable Trust	,500000 INR,"Supported the V.S. Gandhi Kapadwanj Project with a donation of $100,000.","Donated $50,000 to provide emergency relief for disaster-affected communities.","Pledged $300,000 towards research and development in renewable energy technologies."
For Assistive Devices Fund,Nitin Chandrakant Upadhyay,40000 INR,"Donated $100,000 to the Assistive Devices Fund.",,"Donated $50,000 to provide healthcare services for low-income families."
"For General Donation
",Abhay Dan (Charitable Trust)	,25000	INR,"Made a General Donation of $100,000 to support charitable causes.",,"Donated $200,000 to support various humanitarian causes last year."
"For Various Purposes
",Viren Modi	,14401	INR,"Contributed $100,000 for Various Purposes.","Sponsored a seminar with a donation of $170,000 focusing on innovations in flood relief.","Invested approximately $400,000 in initiatives aimed at improving access to education."
"For General Donation
",Sameer Thind	,21000 INR,"Made a General Donation of $100,000 to support charitable causes.","Donated $180,000 to a charity providing emergency relief supplies to flood-stricken communities.","Contributed $150,000 to fund community development projects in rural areas."
